,name,score,year released,platform,genre,rating,playtime1,playtime2,playtime3,playtime4,playtime5,playtime6,playtime7,numbers?,review text
0,Super Mario 64,94.0,1996,Nintendo 64,"Action, Platformer, 3D",E,13 Hours,19 Hours,22.5 Hours,17 Hours,,,,13.0,"It has quickly grown to become the standard by which almost all other games are measured.|It has quickly grown to become the standard by which almost all other games are measured.|As the first true 3D platform game, the game does everything right. Super Mario 64 is a masterpiece in the truest sense of the word.|This is definitely a game no game collection should be without...Seriously!|Complete in every way, and the challenging experience of working toward each new level is far greater than the game's minimal flaws. Nintendo's craftsmanship and zeal for creating fantastically enjoyable games has never shown through more than in Super Mario 64.|I haven't met anybody who hasn't wasted at least half an hour just running around outside the castle, sliding, jumping, stomping, diving, swimming... There are no enemies here and there's really nothing to do, but boy is it fun!|There'll never be another Mario game that will make the same impact as Super Mario 64. [Jan 2004, p.189]|A game that rewards the curious, the original, and in some cases the bludgeoningly stubborn and tenacious.|The sheer scale of the achievement, in originality, variety and technological muscle earns it a 'Best Game Ever' acclamation through sheer muscle, almost regardless of its undoubted and typically Nintendo artistry.|It was the first game on the system, and regretfully, it was also the only great game for the system that could stand the test of time.|The graphics are so finely detailed that you'll soon forget you're playing a game - it's more like taking part in the best cartoon you've ever seen.|The five years it took to write have been well used and it is easily in contention for being one of the best games of the decade.|While we've seen some more creative and impressive world design, no game yet has had this kind of crystal clear 3D graphics, remarkable texture mapping, absence of pixillation, and a frame refresh rate that makes your PC look like the toy.|The distribution of power stars in the levels is horrendous. I think 7 stars in one level is more than enough, don't you think? I understand that there are memory constraints, but there either could have been less stars overall, or 1 (maybe 2) more level(s). Definately a problem."
1,Quake,94.0,1996,PC,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,5 Hours,6.5 Hours,8.5 Hours,6 Hours,,,,9.0,"Satan, your game has arrived. It spits up blood and pisses vinegar. It sprouts horns from its head like the proud minion of evil that it is. It shoots lightning bolts, for cripes' sake. It's a game of pure evil. And even purer entertainment. It's also the best action game on the planet.|Satan, your game has arrived. It spits up blood and pisses vinegar. It sprouts horns from its head like the proud minion of evil that it is. It shoots lightning bolts, for cripes' sake. It's a game of pure evil. And even purer entertainment. It's also the best action game on the planet.|After ""DOOM"" revolutionized first-person shooters, Quake raised the bar and set standards featuring improved visuals in a 3D environment, excellent controls, numerous monsters and a vast online experience.|The essential 3D first person multiplayer experience of our time.|If you're into action games, and even if you're not, you should be playing Quake right now - it's as good as PC gaming gets.|Quake is not just another 3D shoot-em-up game. It's a whole new level of gaming. The amazing performance and features of Quake are the future of gaming. Whether you are new to this type of game or you are an old ""Doom"" hack, you will fall in love with Quake.|The graphics, sound, and intelligence factors combine to make a game that will scare the hell out of you! The main problem that Quake seems to have is a lack of identity. It wants to combine ""DOOM"" elements with Hexen elements which creates a mish-mash effect.|Quake is fun. Quake is cool. Quake is the best game of its type I have ever seen. Quake won't let me sleep at night. However, Quake could be better.|Quake isn't destined to revolutionize action games, but it's a very good first-person shooter from the guys who invented the genre. [October 1996, p.150]|The shareware version before you buy this. Good, but it doesn't quite live up to the hype."
2,Diablo,94.0,1996,PC,"Role-Playing, Action RPG, Action RPG",M,14.5 Hours,18.5 Hours,29 Hours,17 Hours,,,,12.0,"A feast of atmospheric entertainment. While it might tire after a while, you'll likely get your money's worth long before that point, and moreso if you venture into the chaos that is Battle.net, where life takes on a whole new meaning and the hours slip mysteriously away. Diablo is a landmark game.|A feast of atmospheric entertainment. While it might tire after a while, you'll likely get your money's worth long before that point, and moreso if you venture into the chaos that is Battle.net, where life takes on a whole new meaning and the hours slip mysteriously away. Diablo is a landmark game.|About as close to Hell as you're going to get - whether you believe in it or not. Everything about this game just rules and it will blow you away. The gameplay is the easiest I've ever come across in an RPG which is just fantastic.|Diablo is the perfect example of a game that transcends its genre.|The hundreds of beautifully rendered monstrosities, items and labyrinths will keep you on your toes for months. Blizzard is also one of the first software companies to offer FREE MULTI-PLAYER GAMING.|By far the shortest RPG I've ever played. Surprisingly, this may be one of its strengths. An RPG that only takes about thirty hours (or much less if you are experienced) to play is easy to play again. And Diablo has serious replayability virtues. [Grade = A+]|Hands-down, the best game I've seen in years...The fantastic design, intuitive gameplay, spectacular graphics, inspired music and sound effects, sheer number of monsters and unique items, and the free Battle.net service put Diablo at a high level of excellence that future releases may never reach.|A title that combines the elegant simplicity of an action game and the addictive storyline of an adventure game with the personalization and exploratoration of an old-school RPG... The best game to come out in the past year, and you should own a copy. Period.|RPG fans have waited for this one for a long time, and they won't be disappointed. [March 1997, p.102]|For a highly addictive, replayable game, facing the Lord of Terror is somewhat of an anti-climax. Provided you've played as a Rogue and have the Bow of the Bear it's pretty simple to kill him off. Playing the Warrior though is a little harder.|While Diablo is easy to get into, it doesn't hold too much charm after you have put many hours into it. The action is not complex and can become very repetitive.|If you're looking for an action RPG with medieval roots and influences, dark and moody settings, and unique game play, then run to your nearest retailer and pick up a copy of Diablo!|Despite the rather pale storyline (at least within the game itself), watered-down quests and a fair amount of necessary repetition, Diablo is a must for anyone interested in ""just plain fun."" Action gamers and RPG-ers alike will be enthralled.|"
3,Sid Meier's Civilization II,94.0,1996,PC,"Strategy, Turn-Based, Historic, General, Historic, 4X",K-A,25.5 Hours,--,32.5 Hours,26.5 Hours,,,,7.0,"It is an incredible and very addictive game; once you start playing you won't want to stop... You will want to play Civilization II over and over, as every game is different.|It is an incredible and very addictive game; once you start playing you won't want to stop... You will want to play Civilization II over and over, as every game is different.|Under the surface lies something of a bionic game - they have rebuilt it, and the new product is better, stronger, faster - well, probably not faster (unless daddy has bought you a silky P133), but it's one hell of a game all the same.|An immensely addictive and playable strategy game that's the rightful heir to the Civilization crown. [July 1996, p.82]|While those looking for a revolutionary new game may not be entirely satisfied, any serious gamer who can even imagine enjoying this game probably will.|Microprose managed to add a score of new play elements that help the aging strategy classic evolve - without sacrificing the games addictive qualities.|For me, the PC was designed to run Civilization 2. Sid Meier is a God and I'll be playing this for days, weeks, months even!|Awesome and addicting in everyway, it's also only the second game for Windows 95 that was worth playing at all (the other being ""Ultima Online"")."
4,GoldenEye 007,96.0,1997,Nintendo 64,"Action, Shooter, First-Person, Modern",T,10 Hours,17.5 Hours,21 Hours,12.5 Hours,,,,21.0,"This is probably the best game you can get on the Nintendo 64.|This is probably the best game you can get on the Nintendo 64.|This is without a doubt one of the best games ever made. Every true gamer should own this game, Goldeneye is an absolute must. Personally I dont think I will ever stop playing this game, I love it.|Without a doubt, an experience like no other.|Here is a game that not only changed my perception of games, but also changed my perception of the world. Never shall I pass a security camera again without itching to disable it with a pinpoint accurate shot. Altering a person's perception is not an easy thing to do and qualities like that make for some very interesting art.|One can't go without mentioning the fantastic multiplayer mode. Unlike PC shooters, where ambush seems to be the name of the game, GoldenEye concentrates on fast, frantic fun. Everyone can see each other's screen, and radar is provided for additional assistance, so hiding is a virtual impossibility.|Play GoldenEye one time and youll be jonesin for James harder than Grace Jones on a lonely night. Its one of the best movie-to-game translations ever.|Bar none this is the greatest console game ever made... Its mix of thought-provoking action, wonderful ambience, and perfect execution make this a must play for any gamer.|Simply the most exciting and involving N64 game to date.|So if you appreciate ingenuity, realistic settings, loads of cool weapons, and some of the best artificial intelligence ever witnessed in a first-person shooter, let alone a console shooter, GoldenEye 007 is an essential addition to your N64 game library.|The type of game N64 owners have been waiting for since they finished Mario 64. It has outstanding graphics and sound, and contains a certain depth in its gameplay that really entices you to finish it on all three difficulty levels.|We can say with a clear conscience that Goldeneye 007 is the best single-player first-person game on any system.|Goldeneye is even better than ""Mario 64."" Even Oddjob could figure out what that means! A Nintendo 64 without Goldeneye is like James Bond without a vodka martini.|Is Goldeneye 007 another great game by Rare, Is 007 the best first-person shooter on any next-generation system... my answer is HELL YEA!|A pure classic if I've ever seen one. It is infectious fun with superb depth. This is a must buy that will keep you interested for months on end.|Fans of N64 and PC games used to compare Goldeneye to games such as ""Half Life,"" which is remarkable because Goldeneye was not only older, but running on hardware that was vastly inferior to a $2500 PC.|Truly classic, late '90s college dorm room staple, and Rare's finest moment. [Jan 2004, p.189]|Overall, GoldenEye, while being a good corridor shooter, is a corridor shooter, nonetheless. I have no problem with Nintendo releasing quality games, but I think it's time they expand the horizons of the system a little.|One of the best first person shooters ever.|Its strategy and story mixed in with the action make it a fantastic gaming experience.|It has all those essential elements that good games need, and all those elements are slightly less than perfect.|7 / 8 / 8 / 8 - 31 silver"
5,The Legend of Zelda: Ocarina of Time,99.0,1998,Nintendo 64,"Action Adventure, Fantasy",E,26.5 Hours,30.5 Hours,39 Hours,30.5 Hours,,,,22.0,"A slightly flawed masterpiece, but a masterpiece nonetheless.|A slightly flawed masterpiece, but a masterpiece nonetheless.|This is, without a doubt, one of the all-time greatest games made. 50 years from now people will still be playing and enjoying this game... thoroughly.|This Zelda adventure will undoubtedly withstand the test of time and take its place as one of the best games to ever grace a home system.|My favorite game of all Time. It is the perfect example of a perfect and polished game. Every aspect of the game is virtually flawless.|An epic adventure that is among the best N64 games. [Jan 2004, p.189]|High praise goes to them for also managing to fit joy, creativity and discovery into the game and doing so without the use of Full-Motion Video (FMV) and the CD soundtrack his critics said was needed. This game is simply the most complete experience of any game ever made making Ocarina Of Time the game I've always dreamed of playing.|This is Zelda supreme. It's fun. One hitch, however, is that the skill level gets progressively harder - so hard that casual gamers might give up rather quickly.|Ocarina of Time is the complete package appealing to one and all, and is the definitive accomplishment in game design.|A truly remarkable achievement. Nintendo have created a beautiful game world and breathed life into it with puzzles, secrets, enemies, and loveable characters that will completely engross gamers around the globe. Stunning attention to detail is present throughout the game and is constantly evident in the visuals, audio and gameplay.|The amount of secrets and little things will astound you if you take the time to fully appreciate the vast world that lies before you. No matter how skeptical you are, do yourself a favor and try this title for five minutes. That's about how long it will take to get you completely drawn into this incredible adventure.|The N64 is a 3D workhorse, and Zelda proves it with great textures, lighting, tons of little environmental effects, and smooooth framerates with no slowdown. Faces, the toughest graphical challenge on 3D characters, are fantastic in Zelda. Characters blink, look around and change expressions with surprising grace.|10 / 10 / 10 / 10 - platinum [first ever perfect score]|The biggest, most heartpounding and awe-inspiring quest of all. Oh yes, Zelda 64 does indeed own your soul.|Nothing but pure 100% fun, challenging, and lengthy.|Call us crazy, but when the final version of Zelda 64 arrived in the IGN64 offices, we stopped working, locked ourselves into a room with a big-screen TV and a surround system and played 17 hours straight. After only a few hours of sleep, we were back for more and we couldn't stop until we finished the game. Then, we started over again to find all the secrets.|[Review Score = 110]  What's significant about this convergence of audio, graphics and gameplay is that you are COMPLETELY IMMERSED in Zelda's world. Why? Because everything is meticulously thought out. Each character and event plays a role in a storyline that sprawls like a J.R. Tolkien masterpiece...It's certainly the game of the decade.|A game that can't be called anything other than flawless...This is the masterpiece that people will still be talking about ten years down the road.|Perfect. Epic. Unstoppable. Unbeatable. Irresistible. Sensational...The best videogame I have ever played. It is the crowning jewel of the industry. It is Nintendo's finest achievement.|When it comes to what people will now demand of a top videogame, Nintendo has moved the goalposts off the pitch, into a lorry, down the road, into the airport, onto a plane and halfway round the world to a different continent entirely.|Featuring unparalleled 3D environments, a deep and involved quest, brilliant and intuitive play controls, and a well-developed cinematic quality that enhances rather than overwhelms the whole game experience, Miyamoto's latest soon-to-be-classic title deserves to be played by each and every person who might deign to consider themselves a fan of great games.|The player will be drawn into the Zelda fantasy world from the moment the opening sequence bursts onto the screen, and the game won't let go-not even after finishing the quest.|Realism is one of the major reasons this title is so amazing. After playing for a while it feels as though you have actually been to Hyrule.|"
6,Tekken 3,96.0,1998,PlayStation,"Action, Fighting, 3D",T,2.5 Hours,12 Hours,31.5 Hours,11 Hours,,,,15.0,"An amazing conversion, given the difference between the arcade and PlayStation hardware at the time. Set the standard for bonuses. [Feb 2003, p.97]|An amazing conversion, given the difference between the arcade and PlayStation hardware at the time. Set the standard for bonuses. [Feb 2003, p.97]|I'd come off as a huge hypocrite if I didn't put Tekken 3 at the top of the list. ""Tekken 2"" was a 10, and Tekken 3 is a better game in most respects.|In order to outshine Tekken 3, a game will need to have a ton of moves (T3 has over 100 per character), multi-hit combos (all T3 fighters can pull off 10-hitters), outstanding graphics (T3 has no breakup on the fighters, no ""blind spots"" where clipping occurs, and no slowdown), and seamless gameplay that includes juggles, counters, and linking moves.|If you want to pick a fight, why not battle with the best of 'em? [Mar 02, p.34]|The gameplay is identical to the arcade. Every move, combo, and character has been transferred over, and a couple of new characters have been added in as well.|The spectacular sequel that confirmed the hatred gamers felt for Paul. [Jan 2004, p.189]|A thoroughbred that out-strikes the opposition as if it were high on steroids. Put bluntly, we're not gonna get a better beat-'em-up. Tekken 3 is a killer app that is close to perfection.|A ""better than arcade"" overall game translation here that will truly stand the test of time and perhaps be the best fighter we will ever see released on the Playstation.|The only gripe that we'd have with it is that Namco's set the bar so high that we shudder with anticipation and dread over what the designers'll have to do to top this.|After the first fight you will see how much time was spent on the details of making the characters look and react as realistic as possible.|The sound effects are horrible because they replaced a lot of Arcade sound effects with lower sampled and wimpy sounding effects. This is really the only downfall of this game, aside from the frame dropping.|With everything that the arcade version has and more, this is one of the few times that a console game outshines its arcade counterpart.|The best fighter for any console system. What else needs to be said?|There is a downside to the improved graphics. In some of the stages there is some slowdown and degradation of frame rate.|While the backgrounds are 2D, they are rich and diverse and those spot explosions, though pixilated, feature high quality light sourcing."
7,Half-Life,96.0,1998,PC,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,12 Hours,14 Hours,15.5 Hours,12.5 Hours,,,,24.0,"It isn't everyday that you come across a game that totally revolutionizes an entire genre, but Half-Life has done just that.|It isn't everyday that you come across a game that totally revolutionizes an entire genre, but Half-Life has done just that.|If you want an incredible 3D experience that will cause you to lose sleep, meals, PTA meetings, and romantic rendezvous, this is the game.|The way scientists and guards talk to you and each other, the huge stages that you can make a little bit more progress in each time you play, the absolutely amazing animation...it all adds up to a totally immersive gaming experience that makes everything else look quite shoddy in comparison.|I have yet to play a more immersive game period. From the word ""go"", I found myself completely engulfed into the pseudo world that is unfolded before your eyes. [6 ""drips""]|It features a fully interactive environment that's a blast to play through. It's really like an interactive movie because it's so immersive. It's easily the most revolutionary shooter since ""System Shock.""|Single player has a great story line with lots of twists and turns that keeps you interested.|A masterpiece of epic proportions, the ""Saving Private Ryan"" of first-person shooters.|Everything about Half-Life smacks of quality: the storyline, the gameplay, the graphics, the sound effects and last, but not least, the obvious level of committment Sierra and Valve have invested in it. Half-Life is, without doubt, the best PC game I have ever played. Ever.|A fantastic single player experience, with reliable and customizable multiplayer support...what more could a FPS fan ask for.|It is, without a doubt, the best single-player first-person shooter ever. Period. It is so good for so many reasons. But most importantly, it is fun. I mean really fun.|This is The Big One, and it's even better than we could've hoped. [Jan 1999, p.166]|Half-Life is brilliant in every respect with huge monsters appearing later on, Half-Life gets so spooky it hurts, so frightening people simply watching jump!|It combines a balance of tense action, puzzle solving, story, and fun that has yet to be equaled on in the FPS arena.|The best FPS ever created. Makes everything else pale in comparison. It's everything you always wanted in a FPS.|Everything in this game is perfect, including the excellent characters and graphics, and the realistic sound effects. Half-Life is not a game, it is an adventure.|It constantly presents you with variety, surprises, and new challenges to keep you hooked. It is a tour de force in game design, the definitive single player game in a first person shooter.|The storyline runs in perfect harmony with the action and acts as a conduit not a stopgap, or a padding device. Each gaming element compliments the next and the entire presentation is nothing short of, well…dare we say it…revolutionary.|It's atmosphere and unique style have changed the face of PC gaming.|The closest thing to a revolutionary step the genre has ever taken. Through a series of subtle and artistic design decisions, Half-Life creates a reality that is self-contained, believable, and thoroughly engaging.|Call in sick at work, unplug the phone, cancel all your plans, and prepare yourself for one of the most intense, exciting, and downright brilliant gaming experiences of your life.|Realism aside, Half-Life provides some of the best unrealistic opponents seen to date as well. The creature design here is outstanding.|Once you have dominated the death match realm, you can truly call yourself either an expert gamer, or an obsessive stinking nerd.|I have never had a more immersive and engaging entertainment experience than I had with the first half of Half-Life...[but] the game peaks too soon.|Unfortunately, Half-Life’s puzzle-oriented play leads to some problems. On several occasions, you’ll be forced to make almost impossible jumps. The difficulty of such maneuvers finds you making 10, sometimes 15 attempts. The frustration distances you from a story that should have you absorbed.|"
8,Gran Turismo,96.0,1998,PlayStation,"Driving, Racing, GT / Street",E,31 Hours,36.5 Hours,42.5 Hours,32.5 Hours,,,,16.0,"If you can get past its slightly intimidating barrier to entry (getting your license to race in this game is trickier than the real thing), you'll play Gran Turismo for months and months and never see all of its glory. This is a classic.|If you can get past its slightly intimidating barrier to entry (getting your license to race in this game is trickier than the real thing), you'll play Gran Turismo for months and months and never see all of its glory. This is a classic.|Visually, Gran Turismo set new standards right down to the finest details including the brilliant lighting effects. And just wait till you see the replays - amazing.|Turismo rockets to the top with unbelievable depth, raucous arcade action, challenging sim gameplay, and more cars than a mall parking lot. It’s worth every penny.|Difficulty complaints aside, Gran Turismo is truly an amazing game... This is the last word in console racing games, period.|Is it really that realistic? The answer to that is a plain ""YES."" When you have a PlayStation steering wheel, you could practice for your real-life driver's license with this game.|The amazing part is that GT takes all of this into account and represents it in the performance of your car. This includes traction, weight, load balance, gear ratios, downforce, and lots of other technical racing jargon. For example, buy a racing suspension, and before each race you can modify the car height (front and rear), spring rate, shock damping and camber angle.|Picture the most complete racer you could ever imagine, now double it. Gran Turismo is definitely the best racing game ever.|I would confidently say that this is the most in-depth and enjoyable racing experience ever created on and computer or videogame system.|The biggest, best and sexiest racing game ever. What we have here is a gigantic car game that's such enormous fun to play because of three main elements: unparalleled realism, ground-breaking graphics and the chance to spend a lot of money.|I am going to go out on a limb here and say that this may very well be the best racing game of all time. Yes, you read that correctly.|One of the most exquisite racers ever to hit the PlayStation. Its alluring features will keep you glued to your seat for months, if not years. In fact I haven't driven my real car in three weeks.|The first installment  in the best racing-game series of all time. [Jan 2004, p.188]|The replays had some of us doing double-takes to make sure we weren't watching real race footage. [Feb 2003, p.97]|The tracks to this game can get sort of boring after awhile of playing the game (most of the tracks are the same, they just re-route them for you to go in different directions).|This game requires patience and practice - this may not make this such a great game for smaller kids or people who want to just get out there and race.|Before you can enter a given circuit, you must obtain certification in the form of a license. If you don't pass, you can't race. This is certainly the most controversial aspect of the game and the reason that Gran Turismo scores only an 8 in gameplay.|"
9,Metal Gear Solid,94.0,1998,PlayStation,"Action Adventure, Modern",M,11.5 Hours,12.5 Hours,16 Hours,12 Hours,,,,20.0,"A cinematic classic. [Feb 2003, p.97]|A cinematic classic. [Feb 2003, p.97]|It is literally full of those 'classic' moments that are all too rare these days. Whether it's the first time your footprints are discovered, the first time you perform a stealth kill, finding out the identity of the 'Ninja', solving the method of defeating Psycho Mantis, obtaining the camera and seeking out your first 'ghost'... there are so many classic memories.|This game is full of surprises and you never know what is going to happen, and that is a very good thing.|Gripping. You will not be able to make your way through this unrelenting adventure without feeling your stomach flip and churn into knots.|Adding to the story is some of the best voice acting to ever come to a videogame. The entire cast did an absolutely top-notch performance.|The rarest of things: a video game with looks, brains, and heart.|We may be looking at the greatest game of the decade here.|With the sequel out on PS2, you don't want to fall behind, do you? [Mar 2002, p.34]|The amount of quality that's been pumped into this title is simply astonishing.|This will be the game that everyone will be playing, talking about and demanding for Christmas and the rest of 1999.|A Solid story, inventive gameplay mechanisms, both third and first person views, a slew of spy equipment, awesome weapons, unique emotional plot and stealth make MGS one of PlayStation's greatest games ever.|I'm in awe...From beginning to end, it comes closer to perfection than any other game in PlayStation's action genre. Beautiful, engrossing, and innovative, it excels in every conceivable category.|To accompany the breathtaking graphics is a soundtrack of pure extravagance, and it does wonders to heighten the action and suspense, we can tell you.|The tense atmosphere and sense of urgency the game is able to generate is downright stunning. I often found myself gripping the controller so tight my knuckles would be turning white!|Its diminished length and excessive no-interactive plot hold it back from truly reaching the highest plateau. Still, this is a must have for any PSX library and a ton of fun.|A wonderful espionage sim with rich graphics and great playability. The attention to detail is uncanny and the story is engaging and fun.|Metalgear is distinctive in that the game is woven around the story, rather than the opposite way around.|The game lasts about 12 hours for the average player, but it is an action-packed ride the whole way. Definitely worth the cash.|While the game surely has its share of problems, it must be said that the game presents itself extremely well and really is fun to play, even if it is almost completely devoid of challenge.|While it is playable, and actually pretty fun a lot of the time, it has some serious, nearly game ruining flaws that, for me, made it a complete disappointment.|"
